,miejscowosc,wojewodztwo,typ,dziedzina,lng,lat
0,Warszawa,mazowieckie,POZ,literatura,21.0122287,52.2296756
1,Szczecin,zachodniopomorskie,POZ,chemia,14.6674618,53.3773841
2,Warszawa,mazowieckie,MUZ,muzyka,21.0122287,52.2296756
3,Łódź,łódzkie,POZ,filozofia,19.4516525,51.8010292
4,Luchowo,wielkopolskie,POZ,matematyka,17.2657998,53.2530361
5,Lublin,lubelskie,POZ,historia,22.556178,51.26911920000001
6,Nowogard,zachodniopomorskie,POZ,politologia,15.1163739,53.6741795
7,Wilków,opolskie,POZ,historia,17.649817,51.1146113
8,Gdynia,pomorskie,POZ,informatyka,18.4490251,54.5459594
9,Biecz,małopolskie,PLA,plastyka,21.2521426,49.7380244
10,Kliniska Wielkie,zachodniopomorskie,POZ,chemia,14.7733333,53.46166669999999
11,Rzeszów,podkarpackie,POZ,biologia,22.0046329,50.024744
12,Marki,mazowieckie,MUZ,muzyka,21.1035662,52.3213443
13,Gdańsk,pomorskie,BAL,balet,18.5857143,54.3462257
14,Poznań,dolnośląskie,MUZ,muzyka,16.5314496,51.6757064
15,Sanok,podkarpackie,POZ,fizyka,22.2060658,49.55501870000001
16,Bielsko-Biała,śląskie,POZ,biologia,19.0193824,49.8121337
17,Łódź,łódzkie,POZ,biologia,19.4516525,51.8010292
18,Ustronie Morskie,zachodniopomorskie,POZ,matematyka,15.7598831,54.2019274
19,Aleksandrów Łódzki,łódzkie,POZ,fizyka,19.2616204,51.82013689999999
20,Lublin,lubelskie,MUZ,muzyka,22.556178,51.26911920000001
21,Szczecin,zachodniopomorskie,POZ,matematyka,14.6674618,53.3773841
22,Bielsko-Biała,śląskie,POZ,matematyka,19.0193824,49.8121337
23,Gostyń,śląskie,POZ,informatyka,18.8828234,50.1033649
24,Izabelin,mazowieckie,MUZ,muzyka,20.8231878,52.2834825
25,Szczecin,zachodniopomorskie,POZ,chemia,14.6674618,53.3773841
26,Starzyno,pomorskie,POZ,literatura,18.2628938,54.75586449999999
27,Starzyno,pomorskie,POZ,historia,18.2628938,54.75586449999999
28,Gdańsk,pomorskie,POZ,humanistyka,18.5857143,54.3462257
29,Warszawa,mazowieckie,MUZ,muzyka,21.0122287,52.2296756
30,Rzeszów,podkarpackie,POZ,geografia,22.0046329,50.024744
31,Lublin,lubelskie,POZ,historia,22.556178,51.26911920000001
32,Ligota,śląskie,PLA,plastyka,18.9575,49.8795278
33,Warszawa,mazowieckie,MUZ,muzyka,21.0122287,52.2296756
34,Bielsko-Biała,śląskie,PLA,plastyka,19.0193824,49.8121337
35,Nowy Sącz,małopolskie,PLA,plastyka,20.7153326,49.6174535
36,Nowy Sącz,małopolskie,POZ,humanistyka,20.7153326,49.6174535
37,Gdańsk,pomorskie,POZ,informatyka,18.5857143,54.3462257
38,Lubaczów,podkarpackie,POZ,humanistyka,23.1387468,50.156415
39,Warszawa,mazowieckie,PLA,plastyka,21.0122287,52.2296756
40,Antoniów,dolnośląskie,PLA,plastyka,15.5514298,50.9057968
41,Radom,mazowieckie,POZ,fizyka,21.1471333,51.40272359999999
42,Stalowa Wola,podkarpackie,POZ,matematyka,22.053586,50.5826005
43,Szczecin,zachodniopomorskie,POZ,matematyka,14.6674618,53.3773841
44,Kęty,małopolskie,POZ,fizyka,19.2213846,49.87793240000001
45,Kęty,małopolskie,POZ,politologia,19.2213846,49.87793240000001
46,Niedźwiedź,małopolskie,POZ,humanistyka,20.0926064,49.6076079
47,Poręba Wielka,małopolskie,MUZ,muzyka,20.0926064,49.6076079
48,Brzeźnica,małopolskie,POZ,literatura,19.6317581,49.9503154
49,Łódź,łódzkie,MUZ,muzyka,19.4516525,51.8010292
50,Piła,wielkopolskie,MUZ,muzyka,16.7382266,53.1509671
51,Kraków,małopolskie,POZ,fizyka,19.8735418,50.0906143
52,Siedlce,mazowieckie,MUZ,muzyka,22.3046548,52.15593639999999
53,Troszyn,zachodniopomorskie,POZ,matematyka,14.4537878,52.7882785
54,Wałcz,zachodniopomorskie,POZ,literatura,16.4752847,53.2734739
55,Poznań,wielkopolskie,MUZ,muzyka,16.8387079,52.4080886
56,Ełk,warmińsko-mazurskie,POZ,humanistyka,22.3607234,53.8462486
57,Kluczbork,opolskie,POZ,geografia,18.21807,50.97235
58,Kluczbork,opolskie,POZ,matematyka,18.21807,50.97235
59,Wrocław,dolnośląskie,MUZ,muzyka,17.0956726,51.1141338
60,Warszawa,mazowieckie,POZ,ekonomia,21.0122287,52.2296756
61,Leszno,wielkopolskie,POZ,matematyka,16.5937545,51.8419861
62,Bielsko-Biała,śląskie,PLA,plastyka,19.0193824,49.8121337
63,Kraków,małopolskie,MUZ,muzyka,19.8735418,50.0906143
64,Kraków,małopolskie,POZ,matematyka,19.8735418,50.0906143
65,Łańcut,podkarpackie,POZ,matematyka,22.2574879,50.0777803
66,Chorzów,śląskie,POZ,humanistyka,18.9545728,50.2974884
67,Bydgoszcz,kujawsko-pomorskie,POZ,matematyka,18.0280647,53.13152119999999
68,Jaworzno,śląskie,POZ,matematyka,19.2739314,50.204987
69,Bytom,śląskie,MUZ,muzyka,18.9157175,50.3483816
70,Mszana Dolna,małopolskie,POZ,chemia,20.0742174,49.6799732
71,Baczyna,lubuskie,POZ,biologia,15.0937112,52.7617121
72,Porąbka,śląskie,POZ,matematyka,19.2443988,49.8208574
73,Pisarzowice,małopolskie,POZ,historia,19.1455849,49.8834508
74,Jaworze,śląskie,POZ,historia,18.9422222,49.8061111
75,Dąbrowa Górnicza,śląskie,MUZ,muzyka,19.1949126,50.3216897
76,Raciąż,mazowieckie,POZ,historia,20.1079605,52.77985169999999
77,Poznań,wielkopolskie,MUZ,muzyka,16.8387079,52.4080886
78,NJ-07016  Cranford,wielkopolskie,MUZ,muzyka,17.3522939,52.279986
79,Piaski,łódzkie,POZ,fizyka,18.4554178,51.3541936
80,Konin,wielkopolskie,POZ,fizyka,18.2510729,52.2230334
81,Białystok,podlaskie,MUZ,muzyka,23.1572628,53.1295852
82,Katowice,śląskie,MUZ,muzyka,19.0885353,50.26430509999999
83,Kielce,świętokrzyskie,POZ,chemia,20.5769729,50.8856697
84,Gdów,małopolskie,POZ,matematyka,20.2347881,49.9172689
85,Mszana Dolna,małopolskie,MUZ,muzyka,20.0742174,49.6799732
86,Sławno,zachodniopomorskie,MUZ,muzyka,16.6910066,54.3539717
87,Murowany Most,podlaskie,POZ,historia,23.2158579,54.2326784
